Epoch 117/200, Loss: 36.097359, F_score: 0.226424, Accuracy: 0.356048
Epoch 118/200, Loss: 36.678768, F_score: 0.169226, Accuracy: 0.306731
Epoch 119/200, Loss: 36.462914, F_score: 0.214725, Accuracy: 0.326669
Epoch 120/200, Loss: 36.269135, F_score: 0.200609, Accuracy: 0.323281
Epoch 121/200, Loss: 36.095882, F_score: 0.218535, Accuracy: 0.346995
Epoch 122/200, Loss: 36.212013, F_score: 0.250105, Accuracy: 0.369044
Epoch 123/200, Loss: 36.269688, F_score: 0.267920, Accuracy: 0.374653
Epoch 124/200, Loss: 35.324936, F_score: 0.303482, Accuracy: 0.410696
Epoch 125/200, Loss: 35.241234, F_score: 0.297579, Accuracy: 0.410530
Epoch 126/200, Loss: 35.526314, F_score: 0.316880, Accuracy: 0.413640
Epoch 127/200, Loss: 36.186100, F_score: 0.243170, Accuracy: 0.349883
Epoch 128/200, Loss: 36.096878, F_score: 0.256518, Accuracy: 0.367933
Epoch 129/200, Loss: 35.850960, F_score: 0.302996, Accuracy: 0.404754
Epoch 130/200, Loss: 35.486774, F_score: 0.288745, Accuracy: 0.384705
Epoch 131/200, Loss: 35.755409, F_score: 0.274657, Accuracy: 0.375764
Epoch 132/200, Loss: 36.933674, F_score: 0.201100, Accuracy: 0.313173
Epoch 133/200, Loss: 35.973251, F_score: 0.265849, Accuracy: 0.383206
Epoch 134/200, Loss: 35.341331, F_score: 0.306785, Accuracy: 0.406753
Epoch 135/200, Loss: 35.212574, F_score: 0.313932, Accuracy: 0.415695
Epoch 136/200, Loss: 35.870319, F_score: 0.285551, Accuracy: 0.352827
Epoch 137/200, Loss: 35.913582, F_score: 0.332717, Accuracy: 0.425025
Epoch 138/200, Loss: 35.571526, F_score: 0.295414, Accuracy: 0.406975
Epoch 139/200, Loss: 35.509468, F_score: 0.300616, Accuracy: 0.402755
Epoch 140/200, Loss: 35.133575, F_score: 0.299073, Accuracy: 0.403865
Epoch 141/200, Loss: 35.155006, F_score: 0.322999, Accuracy: 0.420860
Epoch 142/200, Loss: 35.701542, F_score: 0.282358, Accuracy: 0.382761
Epoch 143/200, Loss: 35.421272, F_score: 0.355727, Accuracy: 0.447629
Epoch 144/200, Loss: 35.232601, F_score: 0.295048, Accuracy: 0.406920
Epoch 145/200, Loss: 35.341026, F_score: 0.331902, Accuracy: 0.417527
Epoch 146/200, Loss: 36.072155, F_score: 0.224766, Accuracy: 0.351438
Epoch 147/200, Loss: 36.117889, F_score: 0.275220, Accuracy: 0.338276
Epoch 148/200, Loss: 36.118591, F_score: 0.272640, Accuracy: 0.373487
Epoch 149/200, Loss: 35.292007, F_score: 0.332728, Accuracy: 0.424303
Epoch 150/200, Loss: 35.056843, F_score: 0.310505, Accuracy: 0.413307
Epoch 151/200, Loss: 35.005165, F_score: 0.365394, Accuracy: 0.457625
Epoch 152/200, Loss: 35.132641, F_score: 0.310484, Accuracy: 0.416195
Epoch 153/200, Loss: 35.226173, F_score: 0.303340, Accuracy: 0.405476
Epoch 154/200, Loss: 35.746273, F_score: 0.292822, Accuracy: 0.399978
Epoch 155/200, Loss: 35.641357, F_score: 0.338373, Accuracy: 0.429857
Epoch 156/200, Loss: 35.282238, F_score: 0.303910, Accuracy: 0.407697
Epoch 157/200, Loss: 35.604324, F_score: 0.276792, Accuracy: 0.376319
Epoch 158/200, Loss: 36.100449, F_score: 0.259226, Accuracy: 0.355493
Epoch 159/200, Loss: 35.852959, F_score: 0.257506, Accuracy: 0.363934
Epoch 160/200, Loss: 35.775455, F_score: 0.273336, Accuracy: 0.387260
Epoch 161/200, Loss: 35.555523, F_score: 0.294894, Accuracy: 0.394313
Epoch 162/200, Loss: 34.968994, F_score: 0.342890, Accuracy: 0.439853
Epoch 163/200, Loss: 35.317490, F_score: 0.310657, Accuracy: 0.408808
Epoch 164/200, Loss: 36.155190, F_score: 0.232717, Accuracy: 0.346884
Epoch 165/200, Loss: 35.239056, F_score: 0.311202, Accuracy: 0.406142
Epoch 166/200, Loss: 35.232697, F_score: 0.298834, Accuracy: 0.403699
Epoch 167/200, Loss: 35.561954, F_score: 0.271515, Accuracy: 0.379929
Epoch 168/200, Loss: 35.106148, F_score: 0.327981, Accuracy: 0.418027
Epoch 169/200, Loss: 35.074551, F_score: 0.298085, Accuracy: 0.407253
Epoch 170/200, Loss: 36.518997, F_score: 0.223061, Accuracy: 0.273353
