,Timestamp,F_score,Accuracy,loss,batch_size,learning_rate,Training_DATASET,Continue_with_last_saved_model
32,2020-10-28 14:46:24.343755,0.7059264870662508,0.6789977416926551,293.77597,400,0.001,OPPORTUNITY - 18 classes,True
33,2020-10-28 14:46:50.296992,0.6822147222697533,0.656199591353909,287.39844,400,0.001,OPPORTUNITY - 18 classes,True
34,2020-10-28 14:47:16.448591,0.6614044536211175,0.6227121195827509,290.69403,400,0.001,OPPORTUNITY - 18 classes,True
35,2020-10-28 14:47:42.637340,0.7237509078476193,0.7127648134207979,291.67917,400,0.001,OPPORTUNITY - 18 classes,True
36,2020-10-28 14:48:09.087433,0.4323575063649066,0.39866652328207336,294.07,400,0.001,OPPORTUNITY - 18 classes,True
37,2020-10-28 14:48:34.813193,0.6877889280114962,0.6602860522636843,287.51636,400,0.001,OPPORTUNITY - 18 classes,True
38,2020-10-28 14:49:01.485417,0.6836915310808346,0.6499408538552532,290.80676,400,0.001,OPPORTUNITY - 18 classes,True
39,2020-10-28 14:49:27.955476,0.725239084884044,0.7035380148403054,290.07788,400,0.001,OPPORTUNITY - 18 classes,True
40,2020-10-28 14:49:53.860561,0.4509187850124298,0.41759328960103237,292.81183,400,0.001,OPPORTUNITY - 18 classes,True
41,2020-10-28 14:50:19.874032,0.7291212523928509,0.7036670609742983,288.9217,400,0.001,OPPORTUNITY - 18 classes,True
42,2020-10-28 14:50:46.090436,0.5500830252549109,0.5172814281105496,288.4434,400,0.001,OPPORTUNITY - 18 classes,True
43,2020-10-28 14:51:11.935831,0.7258885406580561,0.7004409076244758,289.34262,400,0.001,OPPORTUNITY - 18 classes,True
44,2020-10-28 14:51:37.821581,0.5546050578438338,0.5242069039681686,287.27167,400,0.001,OPPORTUNITY - 18 classes,True
45,2020-10-28 14:52:03.315961,0.7400765364597377,0.7162920744166039,287.58755,400,0.001,OPPORTUNITY - 18 classes,True
46,2020-10-28 14:52:29.650748,0.6553263815208079,0.629508549306377,284.27582,400,0.001,OPPORTUNITY - 18 classes,True
47,2020-10-28 14:52:56.128115,0.733577137368455,0.7084632756210345,283.4025,400,0.001,OPPORTUNITY - 18 classes,True
48,2020-10-28 14:53:21.967247,0.6963651846371682,0.6698784815571567,281.31442,400,0.001,OPPORTUNITY - 18 classes,True
49,2020-10-28 14:53:47.826934,0.7597631062424375,0.7394343477793311,282.83853,400,0.001,OPPORTUNITY - 18 classes,True
50,2020-10-28 14:54:13.701161,0.6480957626150745,0.6119367673943434,287.04355,400,0.001,OPPORTUNITY - 18 classes,True
51,2020-10-28 14:54:40.208158,0.750000377175269,0.7342940101086138,284.33688,400,0.001,OPPORTUNITY - 18 classes,True
52,2020-10-28 14:55:06.323438,0.6309297251981775,0.5900204323045489,281.86618,400,0.001,OPPORTUNITY - 18 classes,True
53,2020-10-28 14:55:32.492724,0.7411351821936092,0.7219055812452952,285.9503,400,0.001,OPPORTUNITY - 18 classes,True
54,2020-10-28 14:55:57.636448,0.599121915172635,0.564598343907947,283.3044,400,0.001,OPPORTUNITY - 18 classes,True
55,2020-10-28 14:56:23.946946,0.7038432453515636,0.6792343262716422,285.4122,400,0.001,OPPORTUNITY - 18 classes,True
56,2020-10-28 14:56:49.752558,0.6807423486509413,0.6389289170878589,283.7244,400,0.001,OPPORTUNITY - 18 classes,True
57,2020-10-28 14:57:16.178244,0.7187175914694538,0.695945800623723,282.35785,400,0.001,OPPORTUNITY - 18 classes,True
58,2020-10-28 14:57:42.294640,0.6888263377871638,0.6597913754167115,283.01532,400,0.001,OPPORTUNITY - 18 classes,True
59,2020-10-28 14:58:08.732049,0.7189140908026018,0.697236261963652,281.32217,400,0.001,OPPORTUNITY - 18 classes,True
60,2020-10-28 14:58:34.325621,0.6950845456540587,0.6663297128723519,281.50787,400,0.001,OPPORTUNITY - 18 classes,True
61,2020-10-28 14:59:00.072367,0.7141694951745883,0.6850844176793204,282.97977,400,0.001,OPPORTUNITY - 18 classes,True
62,2020-10-28 14:59:26.214767,0.7017000286744445,0.6746962038928918,284.83456,400,0.001,OPPORTUNITY - 18 classes,True
63,2020-10-28 14:59:52.010312,0.6786946653303887,0.6448005161845359,285.02393,400,0.001,OPPORTUNITY - 18 classes,True
64,2020-10-28 15:00:18.105096,0.6616664143955698,0.6369071943219701,279.03546,400,0.001,OPPORTUNITY - 18 classes,True
65,2020-10-28 15:00:43.964868,0.7640717914903151,0.7501881922787397,273.89154,400,0.001,OPPORTUNITY - 18 classes,True
66,2020-10-28 15:01:09.843103,0.6611870166812678,0.6367781481879772,277.02536,400,0.001,OPPORTUNITY - 18 classes,True
67,2020-10-28 15:01:36.272260,0.7525474685582463,0.7284009033229379,278.73325,400,0.001,OPPORTUNITY - 18 classes,True
68,2020-10-28 15:02:02.149890,0.6828006987776903,0.6571029142918593,279.4903,400,0.001,OPPORTUNITY - 18 classes,True
69,2020-10-28 15:02:28.764493,0.7446437495997598,0.7183353048714916,277.67273,400,0.001,OPPORTUNITY - 18 classes,True
70,2020-10-28 15:02:54.718240,0.6939164056394492,0.671491558232068,277.08817,400,0.001,OPPORTUNITY - 18 classes,True
71,2020-10-28 15:03:20.847952,0.7609036300853608,0.7405527476072696,275.97665,400,0.001,OPPORTUNITY - 18 classes,True
72,2020-10-28 15:03:46.859183,0.6799764921134392,0.6560490375309173,277.57874,400,0.001,OPPORTUNITY - 18 classes,True
73,2020-10-28 15:04:12.786105,0.7778386673816697,0.7616948058931068,275.37024,400,0.001,OPPORTUNITY - 18 classes,True
74,2020-10-28 15:04:38.957679,0.5156434111001801,0.4985912463705775,277.37936,400,0.001,OPPORTUNITY - 18 classes,True
75,2020-10-28 15:05:04.813405,0.7945893535828106,0.7917625551134531,276.70587,400,0.001,OPPORTUNITY - 18 classes,True
76,2020-10-28 15:05:30.575405,0.4564319109825307,0.4439402086245833,277.92154,400,0.001,OPPORTUNITY - 18 classes,True
77,2020-10-28 15:05:56.421095,0.7558286152221659,0.7378642864824174,276.65375,400,0.001,OPPORTUNITY - 18 classes,True
78,2020-10-28 15:06:22.808956,0.6986910867775944,0.6719862350790408,275.36404,400,0.001,OPPORTUNITY - 18 classes,True
79,2020-10-28 15:06:48.822254,0.7201017355885938,0.6819227873964943,280.29916,400,0.001,OPPORTUNITY - 18 classes,True
80,2020-10-28 15:07:15.185744,0.7024025894225484,0.6796429723626196,280.85345,400,0.001,OPPORTUNITY - 18 classes,True
81,2020-10-28 15:07:40.994148,0.7149376806697622,0.6833853102484138,277.00342,400,0.001,OPPORTUNITY - 18 classes,True
82,2020-10-28 15:08:06.661363,0.7320171836216933,0.7141413055167223,274.1515,400,0.001,OPPORTUNITY - 18 classes,True
83,2020-10-28 15:08:32.076734,0.7207444661100231,0.6945908162167975,273.01807,400,0.001,OPPORTUNITY - 18 classes,True
84,2020-10-28 15:08:58.299306,0.7846363175658402,0.7772878804172492,277.1978,400,0.001,OPPORTUNITY - 18 classes,True
85,2020-10-28 15:09:24.031498,0.5274953420730542,0.48521346381331326,279.74686,400,0.001,OPPORTUNITY - 18 classes,True
86,2020-10-28 15:09:50.490477,0.7331122793055644,0.7123346596408215,276.20383,400,0.001,OPPORTUNITY - 18 classes,True
87,2020-10-28 15:10:16.140026,0.7268141577836856,0.6941606624368212,277.14923,400,0.001,OPPORTUNITY - 18 classes,True
88,2020-10-28 15:10:42.616753,0.691009072118966,0.6639208517044843,276.03833,400,0.001,OPPORTUNITY - 18 classes,True
89,2020-10-28 15:11:09.144468,0.7600497626984897,0.7419292397031939,274.26346,400,0.001,OPPORTUNITY - 18 classes,True
90,2020-10-28 15:11:35.284338,0.6141500537494796,0.5915044628454672,273.6293,400,0.001,OPPORTUNITY - 18 classes,True
91,2020-10-28 15:12:00.991529,0.7806355405476005,0.7653941284009034,272.77542,400,0.001,OPPORTUNITY - 18 classes,True
